user_id,rank,movie_id,title,genres,similarity
1,1,39,Clueless (1995),Comedy|Romance,0.37948545686204427
1,2,15,Cutthroat Island (1995),Action|Adventure|Romance,0.2319021667589125
1,3,6,Heat (1995),Action|Crime|Thriller,0.21884302715269843
1,4,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0.2028244850698132
1,5,36,Dead Man Walking (1995),Crime|Drama,0.1939644916213058
1,6,5,Father of the Bride Part II (1995),Comedy,0.12323171654777909
1,7,17,Sense and Sensibility (1995),Drama|Romance,0.12153417682632117
1,8,38,It Takes Two (1995),Children|Comedy,0.11580805865940624
1,9,19,Ace Ventura: When Nature Calls (1995),Comedy,0.10439750141991067
1,10,21,Get Shorty (1995),Comedy|Crime|Thriller,0.10409496716282063
2,1,45,To Die For (1995),Comedy|Drama|Thriller,0.3305338496871937
2,2,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0.27371412648391735
2,3,25,Leaving Las Vegas (1995),Drama|Romance,0.25686273055405406
2,4,10,GoldenEye (1995),Action|Adventure|Thriller,0.23986648099567798
2,5,17,Sense and Sensibility (1995),Drama|Romance,0.23084554221699016
2,6,27,Now and Then (1995),Children|Drama,0.2281785419265867
2,7,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0.19770789165350933
2,8,13,Balto (1995),Adventure|Animation|Children,0.18358898354657405
2,9,8,Tom and Huck (1995),Adventure|Children,0.16517855441180695
2,10,9,Sudden Death (1995),Action,0.14758023739895498
3,1,34,Babe (1995),Children|Drama,0.3474244280642934
3,2,49,When Night Is Falling (1995),Drama|Romance,0.30036380689143893
3,3,3,Grumpier Old Men (1995),Comedy|Romance,0.28112204865666823
3,4,25,Leaving Las Vegas (1995),Drama|Romance,0.23091715456429152
3,5,26,Othello (1995),Drama,0.20509247952937915
3,6,43,Restoration (1995),Drama,0.15886162814947824
3,7,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0.09170124923704936
3,8,13,Balto (1995),Adventure|Animation|Children,0.09146657983816442
3,9,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0.0808962068569512
3,10,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0.07666859008779148
4,1,15,Cutthroat Island (1995),Action|Adventure|Romance,0.40222119574939563
4,2,2,Jumanji (1995),Adventure|Children|Fantasy,0.21928347242491864
4,3,39,Clueless (1995),Comedy|Romance,0.21923869818905461
4,4,43,Restoration (1995),Drama,0.19978927809598956
4,5,41,Richard III (1995),Drama|War,0.16931203636537406
4,6,9,Sudden Death (1995),Action,0.16745457201964697
4,7,28,Persuasion (1995),Drama|Romance,0.14399308035779634
4,8,3,Grumpier Old Men (1995),Comedy|Romance,0.1262395508440003
4,9,42,Dead Presidents (1995),Action|Crime|Drama,0.12335830629001654
4,10,44,Mortal Kombat (1995),Action|Adventure|Fantasy,0.11971971646424795
5,1,15,Cutthroat Island (1995),Action|Adventure|Romance,0.24459890805285156
5,2,44,Mortal Kombat (1995),Action|Adventure|Fantasy,0.1834327532204506
5,3,2,Jumanji (1995),Adventure|Children|Fantasy,0.17572356398568412
5,4,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0.1605882652107481
5,5,43,Restoration (1995),Drama,0.15846557651275273
5,6,31,Dangerous Minds (1995),Drama,0.1484936791423821
5,7,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0.14695422630255217
5,8,40,"Cry, the Beloved Country (1995)",Drama,0.1267835463189596
5,9,18,Four Rooms (1995),Comedy,0.11992437769732578
5,10,42,Dead Presidents (1995),Action|Crime|Drama,0.11574368791060885
6,1,7,Sabrina (1995),Comedy|Romance,0.43218363929972925
6,2,35,,,0.2880229127677527
6,3,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0.24950238577577744
6,4,34,Babe (1995),Children|Drama,0.2291092551678744
6,5,4,Waiting to Exhale (1995),Comedy|Drama|Romance,0.18047781649595995
6,6,23,Assassins (1995),Action|Crime|Thriller,0.15535211546394767
6,7,37,,,0.14909322699364624
6,8,28,Persuasion (1995),Drama|Romance,0.13942071532693123
6,9,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0.10844293438539665
6,10,44,Mortal Kombat (1995),Action|Adventure|Fantasy,0.10532373976252585
7,1,45,To Die For (1995),Comedy|Drama|Thriller,0.4160201457381788
7,2,8,Tom and Huck (1995),Adventure|Children,0.3308758925987907
7,3,23,Assassins (1995),Action|Crime|Thriller,0.32112608182602576
7,4,27,Now and Then (1995),Children|Drama,0.2602252113023764
7,5,10,GoldenEye (1995),Action|Adventure|Thriller,0.22616530916671285
7,6,11,"American President, The (1995)",Comedy|Drama|Romance,0.20310784785599523
7,7,35,,,0.19010264545279887
7,8,18,Four Rooms (1995),Comedy,0.16319540128876497
7,9,16,Casino (1995),Crime|Drama,0.14003953158764815
7,10,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0.10723251269272482
8,1,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0.3229298618263885
8,2,31,Dangerous Minds (1995),Drama,0.2814750380881452
8,3,6,Heat (1995),Action|Crime|Thriller,0.2697658345245937
8,4,16,Casino (1995),Crime|Drama,0.25877731660629544
8,5,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0.20800583828387897
8,6,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0.2007060133668993
8,7,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0.17362607337227687
8,8,19,Ace Ventura: When Nature Calls (1995),Comedy,0.1711479835599523
8,9,44,Mortal Kombat (1995),Action|Adventure|Fantasy,0.1514373835065509
8,10,5,Father of the Bride Part II (1995),Comedy,0.14412616816137858
9,1,33,,,0.33890853116226527
9,2,26,Othello (1995),Drama,0.3165795017497297
9,3,45,To Die For (1995),Comedy|Drama|Thriller,0.23433148875741194
9,4,49,When Night Is Falling (1995),Drama|Romance,0.21995937149421896
9,5,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0.20093112627837884
9,6,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0.18392676871388447
9,7,14,Nixon (1995),Drama,0.16260522884244621
9,8,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0.12470128635768696
9,9,18,Four Rooms (1995),Comedy,0.10945350365060247
9,10,36,Dead Man Walking (1995),Crime|Drama,0.10920050041489482
10,1,40,"Cry, the Beloved Country (1995)",Drama,0.3984294847654204
10,2,11,"American President, The (1995)",Comedy|Drama|Romance,0.2179375017521289
10,3,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0.1937689610666431
10,4,44,Mortal Kombat (1995),Action|Adventure|Fantasy,0.16275396906815054
10,5,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0.14074933245610755
10,6,8,Tom and Huck (1995),Adventure|Children,0.1312619574713223
10,7,46,How to Make an American Quilt (1995),Drama|Romance,0.12369424205567492
10,8,25,Leaving Las Vegas (1995),Drama|Romance,0.10930454910408105
10,9,34,Babe (1995),Children|Drama,0.0789040262204389
10,10,12,Dracula: Dead and Loving It (1995),Comedy|Horror,0.04773345790248407
11,1,38,It Takes Two (1995),Children|Comedy,0.3369235594809107
11,2,14,Nixon (1995),Drama,0.2919991093920138
11,3,39,Clueless (1995),Comedy|Romance,0.2654740518241394
11,4,15,Cutthroat Island (1995),Action|Adventure|Romance,0.21336990991715488
11,5,42,Dead Presidents (1995),Action|Crime|Drama,0.19831360854109015
11,6,40,"Cry, the Beloved Country (1995)",Drama,0.19132912307425487
11,7,24,Powder (1995),Drama|Sci-Fi,0.1638440164619952
11,8,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0.16127461859315873
11,9,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0.1317844243608597
11,10,31,Dangerous Minds (1995),Drama,0.13070788372854658
12,1,11,"American President, The (1995)",Comedy|Drama|Romance,0.35208111053775804
12,2,33,,,0.29806804843074497
12,3,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0.23469630004903896
12,4,12,Dracula: Dead and Loving It (1995),Comedy|Horror,0.17792941257259298
12,5,39,Clueless (1995),Comedy|Romance,0.1744658466766298
12,6,35,,,0.13119089140087958
12,7,19,Ace Ventura: When Nature Calls (1995),Comedy,0.13045188430171262
